"","account_id","client_id","district_id.x","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","disp_id","type","district_id.y","frequency","account_age"
"1062",927,1116,69,43,"F","Jesenik","north Moravia",42821,4,13,5,1,3,48.4,8173,36.5,7.01,124,38.5,1358,1116,"OWNER",69,"monthly issuance",19
"1063",928,1117,20,40,"F","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1117,"OWNER",20,"monthly issuance",23
"1064",928,1118,20,47,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1118,"DISPONENT",20,"monthly issuance",23
"1065",929,1119,54,36,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1119,"OWNER",54,"monthly issuance",23
"1066",930,1120,41,43,"F","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471,1120,"OWNER",41,"monthly issuance",23
"1067",931,1121,59,77,"M","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,1121,"OWNER",59,"monthly issuance",23
"1068",932,1122,20,95,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1122,"OWNER",20,"monthly issuance",20
"1069",932,1123,20,94,"F","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1123,"DISPONENT",20,"monthly issuance",20
"1070",933,1124,21,88,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,1124,"OWNER",21,"monthly issuance",21
"1071",934,1125,9,82,"F","Nymburk","central Bohemia",81344,61,23,4,2,6,55.3,8899,44,3.97,149,40,2487,1125,"OWNER",9,"monthly issuance",19
"1072",934,1126,9,81,"M","Nymburk","central Bohemia",81344,61,23,4,2,6,55.3,8899,44,3.97,149,40,2487,1126,"DISPONENT",9,"monthly issuance",19
"1073",935,1127,23,42,"M","Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198,1127,"OWNER",23,"monthly issuance",20
"1074",936,1128,7,86,"M","Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846,1128,"OWNER",7,"monthly issuance",20
"1075",937,1129,43,85,"M","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,1129,"OWNER",43,"monthly issuance",21
"1076",938,1130,70,76,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1130,"OWNER",70,"monthly issuance",19
"1077",939,1131,55,69,"F","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,1131,"OWNER",55,"monthly issuance",22
"1078",939,1132,55,68,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,1132,"DISPONENT",55,"monthly issuance",22
"1079",940,1133,37,58,"F","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,1133,"OWNER",37,"monthly issuance",22
"1080",940,1134,37,57,"M","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,1134,"DISPONENT",37,"monthly issuance",22
"1081",941,1135,8,64,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,1135,"OWNER",8,"monthly issuance",22
"1082",942,1136,9,40,"F","Nymburk","central Bohemia",81344,61,23,4,2,6,55.3,8899,44,3.97,149,40,2487,1136,"OWNER",9,"monthly issuance",23
"1083",943,1137,1,39,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1137,"OWNER",1,"monthly issuance",23
"1084",944,1138,70,46,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1138,"OWNER",70,"monthly issuance",23
"1085",944,1139,70,43,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1139,"DISPONENT",70,"monthly issuance",23
"1086",945,1140,18,70,"M","Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910,1140,"OWNER",18,"monthly issuance",20
"1087",946,1141,21,75,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,1141,"OWNER",21,"monthly issuance",20
"1088",947,1142,59,70,"F","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,1142,"OWNER",59,"monthly issuance",23
"1089",947,1143,59,70,"M","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,1143,"DISPONENT",59,"monthly issuance",23
"1090",949,1145,58,48,"F","Jihlava","south Moravia",109164,98,16,6,1,4,63.6,8757,43,3.95,96,27,2471,1145,"OWNER",58,"monthly issuance",20
"1091",950,1146,54,51,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1146,"OWNER",49,"monthly issuance",23
"1092",951,1147,3,86,"M","Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813,1147,"OWNER",3,"monthly issuance",20
"1093",952,1148,41,75,"M","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471,1148,"OWNER",41,"monthly issuance",19
"1094",953,1149,14,40,"F","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,1149,"OWNER",14,"monthly issuance",21
"1095",954,1150,74,71,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1150,"OWNER",74,"monthly issuance",20
"1096",955,1151,59,43,"M","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,1151,"OWNER",59,"monthly issuance",20
"1097",956,1152,74,35,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1152,"OWNER",74,"monthly issuance",23
"1098",957,1153,70,36,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1153,"OWNER",70,"monthly issuance",21
"1099",958,1154,72,92,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,1154,"OWNER",72,"monthly issuance",20
"1100",958,1155,72,94,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,1155,"DISPONENT",72,"monthly issuance",20
"1101",959,1156,1,83,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1156,"OWNER",1,"monthly issuance",20
"1102",960,1157,4,58,"F","Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,56,5.05,109,63,5892,1157,"OWNER",4,"issuance after transaction",22
"1103",961,1158,1,62,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1158,"OWNER",1,"monthly issuance",19
"1104",962,1159,64,72,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,1159,"OWNER",64,"monthly issuance",20
"1105",962,1160,64,78,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,1160,"DISPONENT",64,"monthly issuance",20
"1106",963,1161,7,43,"M","Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846,1161,"OWNER",7,"monthly issuance",20
"1107",964,1162,26,41,"F","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261,1162,"OWNER",26,"monthly issuance",22
"1108",965,1163,20,52,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1163,"OWNER",20,"monthly issuance",23
"1109",966,1164,15,57,"F","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,1164,"OWNER",15,"monthly issuance",19
"1110",967,1165,15,74,"F","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,1165,"OWNER",15,"monthly issuance",20
"1111",968,1166,74,57,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1166,"OWNER",74,"monthly issuance",21
"1112",968,1167,74,62,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1167,"DISPONENT",74,"monthly issuance",21
"1113",969,1168,19,38,"M","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,1168,"OWNER",19,"monthly issuance",22
"1114",970,1169,18,75,"F","Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910,1169,"OWNER",18,"monthly issuance",19
"1115",971,1170,12,39,"M","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,1170,"OWNER",12,"monthly issuance",20
"1116",972,1171,46,42,"F","Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618,1171,"OWNER",46,"monthly issuance",20
"1117",973,1172,54,93,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1172,"OWNER",54,"monthly issuance",22
"1118",973,1173,54,94,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1173,"DISPONENT",54,"monthly issuance",22
"1119",974,1174,29,46,"F","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,1174,"OWNER",29,"monthly issuance",22
"1120",975,1175,1,91,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1175,"OWNER",1,"monthly issuance",20
"1121",975,1176,1,98,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1176,"DISPONENT",1,"monthly issuance",20
"1122",976,1177,77,77,"F","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,1177,"OWNER",77,"monthly issuance",20
"1123",977,1178,1,45,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1178,"OWNER",1,"monthly issuance",23
"1124",978,1179,1,86,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1179,"OWNER",73,"monthly issuance",23
"1125",979,1180,21,72,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,1180,"OWNER",21,"monthly issuance",23
"1126",980,1181,1,77,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1181,"OWNER",1,"monthly issuance",20
"1127",981,1182,66,70,"F","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,1182,"OWNER",66,"monthly issuance",21
"1128",982,1183,54,74,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1183,"OWNER",54,"monthly issuance",23
"1129",984,1186,2,69,"F","Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674,1186,"OWNER",2,"monthly issuance",20
"1130",985,1187,32,55,"F","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505,1187,"OWNER",32,"monthly issuance",22
"1131",985,1188,32,48,"M","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505,1188,"DISPONENT",32,"monthly issuance",22
"1132",986,1189,74,84,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1189,"OWNER",74,"monthly issuance",20
"1133",987,1190,15,40,"F","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,1190,"OWNER",15,"monthly issuance",20
"1134",987,1191,15,39,"M","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,1191,"DISPONENT",15,"monthly issuance",20
"1135",988,1192,10,91,"F","Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,4,0.54,141,50,4316,1192,"OWNER",10,"monthly issuance",22
"1136",989,1193,19,90,"M","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,1193,"OWNER",19,"monthly issuance",22
"1137",990,1194,17,77,"F","Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.4,8114,25,2.62,119,2,1181,1194,"OWNER",17,"monthly issuance",21
"1138",991,1195,39,77,"F","Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743,1195,"OWNER",39,"monthly issuance",23
"1139",992,1196,22,73,"M","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,1196,"OWNER",22,"monthly issuance",21
"1140",993,1197,6,50,"F","Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120,1197,"OWNER",6,"monthly issuance",20
"1141",994,1198,72,41,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,1198,"OWNER",72,"monthly issuance",21
"1142",995,1199,64,40,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,1199,"OWNER",64,"monthly issuance",21
"1143",996,1200,47,85,"F","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,1200,"OWNER",47,"monthly issuance",19
"1144",997,1201,54,71,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,1201,"OWNER",54,"monthly issuance",19
"1145",998,1202,47,36,"F","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,1202,"OWNER",47,"monthly issuance",23
"1146",1000,1204,77,42,"F","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,1204,"OWNER",77,"monthly issuance",23
"1147",1002,1206,50,59,"M","Svitavy","east Bohemia",102609,75,33,2,3,6,52,8187,61,5.45,94,23,2134,1206,"OWNER",50,"monthly issuance",20
"1148",1003,1207,28,77,"F","Plzen - sever","west Bohemia",72541,66,26,10,0,8,36.9,8594,15,2.01,112,8,1525,1207,"OWNER",28,"monthly issuance",20
"1149",1004,1208,70,41,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1208,"OWNER",70,"monthly issuance",20
"1150",1005,1209,36,59,"F","Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132,1209,"OWNER",54,"weekly issuance",23
"1151",1006,1210,6,55,"M","Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120,1210,"OWNER",6,"monthly issuance",23
"1152",1007,1211,1,38,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1211,"OWNER",1,"monthly issuance",20
"1153",1008,1212,13,89,"F","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,1212,"OWNER",13,"monthly issuance",20
"1154",1009,1213,1,50,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1213,"OWNER",1,"weekly issuance",21
"1155",1010,1214,61,76,"M","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,1214,"OWNER",61,"monthly issuance",21
"1156",1011,1215,45,72,"M","Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122,1215,"OWNER",45,"monthly issuance",22
"1157",1012,1216,65,71,"F","Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718,1216,"OWNER",65,"monthly issuance",22
"1158",1013,1217,59,79,"M","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,1217,"OWNER",59,"monthly issuance",20
"1159",1014,1218,74,36,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1218,"OWNER",74,"monthly issuance",20
"1160",1015,1219,1,72,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1219,"OWNER",1,"monthly issuance",19
"1161",1016,1220,40,63,"F","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,1220,"OWNER",40,"monthly issuance",23
"1162",1017,1221,14,43,"F","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,1221,"OWNER",14,"monthly issuance",22
"1163",1018,1222,7,77,"F","Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846,1222,"OWNER",7,"monthly issuance",23
"1164",1019,1223,14,61,"F","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,1223,"OWNER",52,"monthly issuance",23
"1165",1020,1224,56,78,"M","Breclav","south Moravia",124605,11,42,14,1,8,46,8772,57,4.98,126,37,3158,1224,"OWNER",56,"monthly issuance",20
"1166",1021,1225,42,70,"M","Havlickuv Brod","east Bohemia",95907,87,25,5,2,7,59.1,8388,26,2.94,87,11,1668,1225,"OWNER",42,"monthly issuance",20
"1167",1022,1226,33,65,"F","Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859,1226,"OWNER",33,"weekly issuance",22
"1168",1022,1227,33,61,"M","Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859,1227,"DISPONENT",33,"weekly issuance",22
"1169",1023,1228,21,67,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,1228,"OWNER",21,"monthly issuance",23
"1170",1024,1229,19,45,"M","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,1229,"OWNER",19,"monthly issuance",19
"1171",1026,1231,20,51,"F","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1231,"OWNER",20,"monthly issuance",19
"1172",1026,1232,20,57,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,1232,"DISPONENT",20,"monthly issuance",19
"1173",1027,1233,68,74,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,1233,"OWNER",68,"monthly issuance",19
"1174",1028,1234,23,41,"M","Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198,1234,"OWNER",23,"monthly issuance",20
"1175",1028,1235,23,37,"F","Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198,1235,"DISPONENT",23,"monthly issuance",20
"1176",1029,1236,26,49,"F","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261,1236,"OWNER",26,"monthly issuance",20
"1177",1030,1237,57,93,"M","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,1237,"OWNER",57,"monthly issuance",21
"1178",1031,1238,74,81,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,1238,"OWNER",74,"monthly issuance",21
"1179",1032,1239,11,40,"F","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,1239,"OWNER",11,"monthly issuance",23
"1180",1033,1240,32,40,"F","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505,1240,"OWNER",32,"monthly issuance",19
"1181",1034,1241,73,74,"F","Opava","north Moravia",182027,17,49,12,2,7,56.4,8746,42,3.74,90,56,4433,1241,"OWNER",73,"monthly issuance",19
"1182",1035,1242,73,72,"F","Opava","north Moravia",182027,17,49,12,2,7,56.4,8746,42,3.74,90,56,4433,1242,"OWNER",73,"monthly issuance",19
"1183",1036,1243,11,42,"F","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,1243,"OWNER",11,"monthly issuance",20
"1184",1037,1244,1,52,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1244,"OWNER",1,"monthly issuance",19
"1185",1038,1245,64,37,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,1245,"OWNER",64,"monthly issuance",21
"1186",1039,1246,70,54,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1246,"OWNER",70,"weekly issuance",23
"1187",1039,1247,70,47,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1247,"DISPONENT",70,"weekly issuance",23
"1188",1040,1248,19,45,"M","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,1248,"OWNER",19,"monthly issuance",20
"1189",1042,1250,43,64,"F","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,1250,"OWNER",43,"monthly issuance",22
"1190",1043,1251,1,57,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1251,"OWNER",1,"monthly issuance",19
"1191",1043,1252,1,63,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1252,"DISPONENT",1,"monthly issuance",19
"1192",1044,1253,14,49,"F","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,1253,"OWNER",14,"monthly issuance",21
"1193",1045,1254,3,77,"F","Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813,1254,"OWNER",3,"monthly issuance",20
"1194",1046,1255,1,50,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1255,"OWNER",1,"monthly issuance",21
"1195",1047,1256,46,61,"F","Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618,1256,"OWNER",46,"monthly issuance",22
"1196",1048,1257,35,88,"F","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,1257,"OWNER",35,"monthly issuance",23
"1197",1048,1258,35,92,"M","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,1258,"DISPONENT",35,"monthly issuance",23
"1198",1049,1259,18,50,"M","Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910,1259,"OWNER",18,"monthly issuance",19
"1199",1050,1260,57,71,"F","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,1260,"OWNER",57,"issuance after transaction",23
"1200",1050,1261,57,65,"M","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,1261,"DISPONENT",57,"issuance after transaction",23
"1201",1051,1262,35,64,"M","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,1262,"OWNER",35,"monthly issuance",23
"1202",1051,1263,35,57,"F","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,1263,"DISPONENT",35,"monthly issuance",23
"1203",1052,1264,61,40,"F","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,1264,"OWNER",61,"monthly issuance",23
"1204",1053,1265,57,58,"F","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,1265,"OWNER",57,"monthly issuance",22
"1205",1054,1266,71,64,"F","Novy Jicin","north Moravia",161227,5,35,11,4,10,69.7,8678,66,5.57,102,60,4595,1266,"OWNER",10,"monthly issuance",23
"1206",1055,1267,29,62,"F","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,1267,"OWNER",29,"monthly issuance",20
"1207",1055,1268,29,67,"M","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,1268,"DISPONENT",29,"monthly issuance",20
"1208",1056,1269,1,68,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1269,"OWNER",1,"weekly issuance",20
"1209",1057,1270,13,86,"M","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,1270,"OWNER",13,"monthly issuance",23
"1210",1058,1271,47,81,"M","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,1271,"OWNER",47,"monthly issuance",20
"1211",1059,1272,8,72,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,1272,"OWNER",8,"monthly issuance",21
"1212",1060,1273,6,38,"M","Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120,1273,"OWNER",6,"monthly issuance",20
"1213",1061,1274,44,40,"M","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,1274,"OWNER",44,"monthly issuance",19
"1214",1062,1275,1,65,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,1275,"OWNER",6,"monthly issuance",23
"1215",1063,1276,68,74,"F","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,1276,"OWNER",68,"monthly issuance",20
"1216",1064,1277,70,85,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,1277,"OWNER",70,"monthly issuance",19
"1217",1065,1278,72,38,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,1278,"OWNER",72,"monthly issuance",23
"1218",1066,1279,16,60,"M","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,1279,"OWNER",16,"weekly issuance",20
"1219",1067,1280,34,64,"M","Chomutov","north Bohemia",125236,28,11,1,4,5,87.7,9675,67,7.68,100,64,5190,1280,"OWNER",34,"monthly issuance",20
"1220",1067,1281,34,67,"F","Chomutov","north Bohemia",125236,28,11,1,4,5,87.7,9675,67,7.68,100,64,5190,1281,"DISPONENT",34,"monthly issuance",20
"1221",1068,1282,52,80,"M","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,1282,"OWNER",52,"monthly issuance",19
"1222",1069,1283,66,77,"F","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,1283,"OWNER",70,"monthly issuance",23
"1223",1069,1284,66,73,"M","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,1284,"DISPONENT",70,"monthly issuance",23
"1224",1070,1285,62,77,"M","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906,1285,"OWNER",62,"monthly issuance",20
